Entity,Baseline Recall,Translation-Based Recall,Human-Generated Recall
Berliner Volks-Zeitung,15.8,24.1,35.5
Brand von Glarus,14.3,14.3,44.4
Bürgerpark und Stadtwald,0.0,20.0,0.0
Der Raubfisch,88.9,66.7,81.2
Eidgenössische Bank,95.2,57.5,61.1
Erna Wazinski,12.5,17.5,34.7
Fadenwurminfektionen des Hundes,0.0,40.0,40.0
Graf Öderland,50.0,53.3,56.2
Hamburger Tageblatt,100.0,36.4,41.2
Hans Schnitzler,23.0,16.5,24.5
Haus Fürsteneck,68.8,48.3,60.0
Jüdische Gemeinde Esens,35.3,31.8,50.0
Kettenschifffahrt auf dem Main,20.0,20.0,33.3
Kunstgewerbe- und Handwerkerschule Magdeburg,6.4,5.8,13.2
Königseiche,0.0,0.0,33.3
Ostfriesland zur Zeit des Dreißigjährigen Krieges,50.0,25.0,18.2
Paul Parey Zeitschriftenverlag,60.0,41.2,41.2
Schweiz ohne Armee? Ein Palaver,60.0,25.0,42.9
"Sperber (Schiff, 1938)",76.9,72.2,71.4
Staatliche Zeichenakademie Hanau,20.0,10.3,16.9
Weinbergkirche (Dresden),43.8,36.0,44.8
Wurminfektionen der Katze,0.0,0.0,20.0
