Entity,Baseline Precision,Translation-Based Precision,Human-Generated Precision
Berliner Volks-Zeitung,27.3,43.8,61.1
Brand von Glarus,14.3,14.3,44.4
Bürgerpark und Stadtwald,0.0,20.0,0.0
Der Raubfisch,88.9,72.7,86.7
Eidgenössische Bank,95.2,67.6,68.8
Erna Wazinski,14.7,23.3,43.6
Fadenwurminfektionen des Hundes,0.0,40.0,40.0
Graf Öderland,50.0,53.3,56.2
Hamburger Tageblatt,100.0,44.4,53.8
Hans Schnitzler,42.4,29.5,46.6
Haus Fürsteneck,68.8,48.3,60.0
Jüdische Gemeinde Esens,35.3,33.3,52.2
Kettenschifffahrt auf dem Main,20.0,20.0,33.3
Kunstgewerbe- und Handwerkerschule Magdeburg,21.1,22.5,47.4
Königseiche,0.0,0.0,33.3
Ostfriesland zur Zeit des Dreißigjährigen Krieges,50.0,25.0,18.2
Paul Parey Zeitschriftenverlag,60.0,50.0,50.0
Schweiz ohne Armee? Ein Palaver,60.0,26.3,45.0
"Sperber (Schiff, 1938)",76.9,72.2,71.4
Staatliche Zeichenakademie Hanau,55.6,31.8,59.1
Weinbergkirche (Dresden),46.7,37.5,46.4
Wurminfektionen der Katze,0.0,0.0,33.3
