Entity,Baseline Recall,Translation-Based Recall,Human-Generated Recall
Berliner Volks-Zeitung,20.8,21.9,34.4
Brand von Glarus,22.2,12.5,50.0
Bürgerpark und Stadtwald,0.0,16.7,0.0
Der Raubfisch,81.8,66.7,77.8
Eidgenössische Bank,73.5,48.1,44.6
Erna Wazinski,9.3,15.9,37.9
Fadenwurminfektionen des Hundes,0.0,33.3,33.3
Graf Öderland,53.3,44.4,52.6
Hamburger Tageblatt,70.0,33.3,39.1
Hans Schnitzler,21.4,15.9,25.0
Haus Fürsteneck,56.7,44.1,55.6
Jüdische Gemeinde Esens,25.0,27.8,33.3
Kettenschifffahrt auf dem Main,11.1,18.2,25.0
Kunstgewerbe- und Handwerkerschule Magdeburg,5.0,5.7,12.6
Königseiche,0.0,0.0,33.3
Ostfriesland zur Zeit des Dreißigjährigen Krieges,25.0,16.7,30.8
Paul Parey Zeitschriftenverlag,58.3,37.5,50.0
Schweiz ohne Armee? Ein Palaver,23.5,21.7,37.5
"Sperber (Schiff, 1938)",77.3,53.6,64.3
Staatliche Zeichenakademie Hanau,17.8,10.1,20.0
Weinbergkirche (Dresden),50.0,36.8,39.5
Wurminfektionen der Katze,20.0,14.3,28.6
