Entity,Baseline Precision,Translation-Based Precision,Human-Generated Precision
Berliner Volks-Zeitung,33.3,45.5,76.9
Brand von Glarus,0.0,0.0,33.3
Bürgerpark und Stadtwald,0.0,0.0,0.0
Der Raubfisch,100.0,80.0,100.0
Eidgenössische Bank,100.0,76.5,66.7
Erna Wazinski,15.8,30.8,46.7
Fadenwurminfektionen des Hundes,0.0,0.0,0.0
Graf Öderland,50.0,57.1,69.2
Hamburger Tageblatt,100.0,50.0,42.9
Hans Schnitzler,69.2,36.8,51.6
Haus Fürsteneck,72.7,62.5,63.2
Jüdische Gemeinde Esens,50.0,40.0,52.6
Kettenschifffahrt auf dem Main,0.0,0.0,50.0
Kunstgewerbe- und Handwerkerschule Magdeburg,44.4,36.8,65.2
Königseiche,0.0,0.0,50.0
Ostfriesland zur Zeit des Dreißigjährigen Krieges,100.0,33.3,50.0
Paul Parey Zeitschriftenverlag,71.4,60.0,55.6
Schweiz ohne Armee? Ein Palaver,60.0,40.0,57.1
"Sperber (Schiff, 1938)",50.0,70.0,81.2
Staatliche Zeichenakademie Hanau,60.0,38.5,75.0
Weinbergkirche (Dresden),66.7,50.0,50.0
Wurminfektionen der Katze,0.0,0.0,50.0
