Entity,Baseline Recall,Translation-Based Recall,Human-Generated Recall
Berliner Volks-Zeitung,5.4,2.7,7.4
Brand von Glarus,0.0,25.0,0.0
Bürgerpark und Stadtwald,27.8,10.5,35.0
Der Raubfisch,60.0,33.3,80.0
Eidgenössische Bank,11.1,10.5,23.1
Erna Wazinski,22.2,20.0,36.4
Fadenwurminfektionen des Hundes,0.0,14.3,28.6
Graf Öderland,25.0,22.2,63.6
Hamburger Tageblatt,7.1,4.3,16.1
Hans Schnitzler,23.1,16.7,37.5
Haus Fürsteneck,36.4,0.0,47.8
Jüdische Gemeinde Esens,0.0,5.0,0.0
Kettenschifffahrt auf dem Main,0.0,0.0,22.7
Kunstgewerbe- und Handwerkerschule Magdeburg,1.1,1.1,2.1
Königseiche,0.0,12.5,16.7
Ostfriesland zur Zeit des Dreißigjährigen Krieges,20.0,7.7,31.2
Paul Parey Zeitschriftenverlag,0.0,3.7,5.4
Schweiz ohne Armee? Ein Palaver,18.2,8.3,64.3
"Sperber (Schiff, 1938)",0.0,0.0,42.9
Staatliche Zeichenakademie Hanau,2.2,1.5,5.6
Weinbergkirche (Dresden),16.7,16.7,30.0
Wurminfektionen der Katze,25.0,25.0,50.0
