Entity,Baseline Precision,Translation-Based Precision,Human-Generated Precision
Berliner Volks-Zeitung,20.0,10.5,30.0
Brand von Glarus,0.0,25.0,0.0
Bürgerpark und Stadtwald,50.0,18.2,58.3
Der Raubfisch,60.0,33.3,80.0
Eidgenössische Bank,14.3,12.5,30.0
Erna Wazinski,28.6,25.0,44.4
Fadenwurminfektionen des Hundes,0.0,14.3,28.6
Graf Öderland,25.0,22.2,63.6
Hamburger Tageblatt,16.7,11.1,45.5
Hans Schnitzler,37.5,23.5,52.9
Haus Fürsteneck,40.0,0.0,50.0
Jüdische Gemeinde Esens,0.0,7.1,0.0
Kettenschifffahrt auf dem Main,0.0,0.0,71.4
Kunstgewerbe- und Handwerkerschule Magdeburg,5.6,5.3,10.5
Königseiche,0.0,20.0,33.3
Ostfriesland zur Zeit des Dreißigjährigen Krieges,20.0,7.7,31.2
Paul Parey Zeitschriftenverlag,0.0,9.1,11.8
Schweiz ohne Armee? Ein Palaver,20.0,9.1,69.2
"Sperber (Schiff, 1938)",0.0,0.0,75.0
Staatliche Zeichenakademie Hanau,14.3,9.5,33.3
Weinbergkirche (Dresden),16.7,16.7,30.0
Wurminfektionen der Katze,25.0,25.0,50.0
