Entity,Baseline Recall,Translation-Based Recall,Human-Generated Recall
Berliner Volks-Zeitung,4.9,3.7,7.4
Brand von Glarus,0.0,20.0,0.0
Bürgerpark und Stadtwald,25.0,10.0,35.0
Der Raubfisch,60.0,28.6,75.0
Eidgenössische Bank,5.6,9.1,13.6
Erna Wazinski,18.2,18.2,36.4
Fadenwurminfektionen des Hundes,0.0,14.3,28.6
Graf Öderland,9.1,18.2,63.6
Hamburger Tageblatt,5.9,3.3,17.6
Hans Schnitzler,16.7,15.4,38.5
Haus Fürsteneck,19.0,4.2,45.8
Jüdische Gemeinde Esens,0.0,3.3,0.0
Kettenschifffahrt auf dem Main,0.0,0.0,22.7
Kunstgewerbe- und Handwerkerschule Magdeburg,1.1,1.1,2.1
Königseiche,16.7,10.0,21.4
Ostfriesland zur Zeit des Dreißigjährigen Krieges,13.3,5.6,27.8
Paul Parey Zeitschriftenverlag,3.1,2.2,4.3
Schweiz ohne Armee? Ein Palaver,14.3,7.1,64.3
"Sperber (Schiff, 1938)",0.0,0.0,33.3
Staatliche Zeichenakademie Hanau,2.3,1.5,4.6
Weinbergkirche (Dresden),12.5,8.3,33.3
Wurminfektionen der Katze,20.0,20.0,40.0
