Entity,Baseline Precision,Translation-Based Precision,Human-Generated Precision
Berliner Volks-Zeitung,26.3,36.8,57.9
Brand von Glarus,18.2,15.4,42.9
Bürgerpark und Stadtwald,0.0,16.7,0.0
Der Raubfisch,71.4,73.3,73.7
Eidgenössische Bank,60.5,54.9,50.9
Erna Wazinski,14.6,19.6,43.1
Fadenwurminfektionen des Hundes,0.0,33.3,33.3
Graf Öderland,47.4,42.1,52.6
Hamburger Tageblatt,58.3,37.5,56.2
Hans Schnitzler,37.1,28.2,46.5
Haus Fürsteneck,48.6,40.5,54.1
Jüdische Gemeinde Esens,20.0,23.3,33.3
Kettenschifffahrt auf dem Main,10.0,13.3,20.0
Kunstgewerbe- und Handwerkerschule Magdeburg,18.6,23.3,46.5
Königseiche,0.0,0.0,20.0
Ostfriesland zur Zeit des Dreißigjährigen Krieges,16.7,15.4,28.6
Paul Parey Zeitschriftenverlag,52.4,34.6,40.7
Schweiz ohne Armee? Ein Palaver,21.7,21.7,39.1
"Sperber (Schiff, 1938)",60.7,50.0,58.1
Staatliche Zeichenakademie Hanau,43.5,32.4,62.5
Weinbergkirche (Dresden),44.7,35.0,39.0
Wurminfektionen der Katze,20.0,20.0,40.0
