Entity,Baseline Recall,Translation-Based Recall,Human-Generated Recall
Berliner Volks-Zeitung,15.6,21.9,34.4
Brand von Glarus,18.2,14.3,42.9
Bürgerpark und Stadtwald,0.0,16.7,0.0
Der Raubfisch,71.4,68.8,70.0
Eidgenössische Bank,47.3,43.1,39.7
Erna Wazinski,11.3,15.2,33.3
Fadenwurminfektionen des Hundes,0.0,33.3,33.3
Graf Öderland,47.4,42.1,52.6
Hamburger Tageblatt,46.7,26.1,39.1
Hans Schnitzler,19.8,15.4,25.4
Haus Fürsteneck,48.6,40.5,54.1
Jüdische Gemeinde Esens,19.0,22.2,31.8
Kettenschifffahrt auf dem Main,10.0,13.3,20.0
Kunstgewerbe- und Handwerkerschule Magdeburg,5.0,6.3,12.6
Königseiche,0.0,0.0,20.0
Ostfriesland zur Zeit des Dreißigjährigen Krieges,16.7,15.4,28.6
Paul Parey Zeitschriftenverlag,45.8,30.0,35.5
Schweiz ohne Armee? Ein Palaver,20.8,20.8,37.5
"Sperber (Schiff, 1938)",60.7,50.0,58.1
Staatliche Zeichenakademie Hanau,15.4,10.4,19.2
Weinbergkirche (Dresden),43.6,34.1,38.1
Wurminfektionen der Katze,14.3,14.3,28.6
