Entity,Baseline Recall,Translation-Based Recall,Human-Generated Recall
Berliner Volks-Zeitung,3.0,3.6,8.2
Brand von Glarus,0.0,0.0,0.0
Bürgerpark und Stadtwald,66.7,50.0,46.2
Der Raubfisch,100.0,100.0,100.0
Eidgenössische Bank,33.3,25.0,50.0
Erna Wazinski,33.3,28.6,33.3
Fadenwurminfektionen des Hundes,0.0,0.0,33.3
Graf Öderland,100.0,33.3,85.7
Hamburger Tageblatt,0.0,9.1,16.7
Hans Schnitzler,0.0,19.0,42.9
Haus Fürsteneck,0.0,0.0,58.3
Jüdische Gemeinde Esens,0.0,0.0,0.0
Kettenschifffahrt auf dem Main,0.0,0.0,33.3
Kunstgewerbe- und Handwerkerschule Magdeburg,0.0,3.3,2.2
Königseiche,0.0,0.0,0.0
Ostfriesland zur Zeit des Dreißigjährigen Krieges,66.7,25.0,33.3
Paul Parey Zeitschriftenverlag,0.0,0.0,0.0
Schweiz ohne Armee? Ein Palaver,100.0,20.0,88.9
"Sperber (Schiff, 1938)",0.0,0.0,0.0
Staatliche Zeichenakademie Hanau,0.0,4.1,8.0
Weinbergkirche (Dresden),0.0,0.0,66.7
Wurminfektionen der Katze,0.0,0.0,0.0
