Entity,Baseline Precision,Translation-Based Precision,Human-Generated Precision
Berliner Volks-Zeitung,10.0,12.5,33.3
Brand von Glarus,0.0,0.0,0.0
Bürgerpark und Stadtwald,66.7,50.0,75.0
Der Raubfisch,100.0,100.0,100.0
Eidgenössische Bank,100.0,50.0,75.0
Erna Wazinski,40.0,33.3,42.9
Fadenwurminfektionen des Hundes,0.0,0.0,33.3
Graf Öderland,100.0,33.3,85.7
Hamburger Tageblatt,0.0,20.0,42.9
Hans Schnitzler,0.0,26.7,54.5
Haus Fürsteneck,0.0,0.0,63.6
Jüdische Gemeinde Esens,0.0,0.0,0.0
Kettenschifffahrt auf dem Main,0.0,0.0,100.0
Kunstgewerbe- und Handwerkerschule Magdeburg,0.0,16.7,12.5
Königseiche,0.0,0.0,0.0
Ostfriesland zur Zeit des Dreißigjährigen Krieges,66.7,25.0,33.3
Paul Parey Zeitschriftenverlag,0.0,0.0,0.0
Schweiz ohne Armee? Ein Palaver,100.0,20.0,88.9
"Sperber (Schiff, 1938)",0.0,0.0,0.0
Staatliche Zeichenakademie Hanau,0.0,22.2,46.2
Weinbergkirche (Dresden),0.0,0.0,66.7
Wurminfektionen der Katze,0.0,0.0,0.0
